port,country,lat,lng,wiki,img,desc,total2014,total2013,total2012,total2011,total2010,total2009,total2008,total2007,total2006,total2005
Shanghai,China,30.6265,122.0647,https://en.wikipedia.org/wiki/Port_of_Shanghai,https://upload.wikimedia.org/wikipedia/commons/c/c2/Port_of_Shanghai%2C_Yangshan_Deep-water_Harbour_Zone%2C_02.jpg,"The Port of Shanghai, located in the vicinity of Shanghai, comprises a deep-sea port and a river port. In 2010, Shanghai port overtook the Port of Singapore to become the world's busiest container port. The Port of Shanghai is a critically important transport hub for the Yangtze River region and the most important gateway for foreign trade.",35268,33617,32529,31700,29069,25002,27980,26150,21710,18084
Singapore,Singapore,1.264,103.84,https://en.wikipedia.org/wiki/Port_of_Singapore,https://upload.wikimedia.org/wikipedia/commons/5/5b/Port_of_Singapore_%283777500194%29.jpg,"The Port of Singapore refers to the collective facilities and terminals that conduct maritime trade handling functions in harbors and which handle Singapore's shipping. Currently the world's second-busiest port in terms of total shipping tonnage, it also trans-ships half of the world's annual supply of crude oil, and is the world's busiest transshipment port. Thousands of ships drop anchor in the harbor, connecting the port to over 600 other ports in 123 countries and spread over six continents.",33869,32240,31649,29937,28431,25866,29918,27932,24792,23192
Shenzhen,China,22.5,113.8833,https://en.wikipedia.org/wiki/Port_of_Shenzhen,https://upload.wikimedia.org/wikipedia/commons/5/5b/%E6%B7%B1%E5%9C%B3%E8%B5%A4%E6%B9%BE%E8%B4%A7%E6%9F%9C%E7%A0%81%E5%A4%B4.jpg,"The Port of Shenzhen is a collective name of a number of ports along parts of the coastline of Shenzhen, Guangdong Province, China. These ports as a whole form one of the busiest and fastest growing container ports in the world. The port is home to 39 shipping companies who have launched 131 international container routes. There are 560 ships on call at Shenzhen port on a monthly basis and also 21 feeder routes to other ports in the Pearl River Delta region.",23798,23280,22940,22570,22510,18250,21414,21099,18469,16197
Hong Kong,China,22.3333,114.1167,https://en.wikipedia.org/wiki/Port_of_Hong_Kong,https://upload.wikimedia.org/wikipedia/commons/c/ca/Port_of_hong_kong.png,"The Port of Hong Kong, located by the South China Sea, is a deep water seaport dominated by trade in containerized manufactured products, and to a lesser extent raw materials and passengers. A key factor in the economic development of Hong Kong, the natural shelter and deep waters of Victoria Harbor provide ideal conditions for berthing and the handling of all types of vessels. It is one of the busiest ports in the world, in the three categories of shipping movements, cargo handled and passengers carried.",22374,22352,23117,24384,23532,20983,24248,23881,23539,22427
Ningbo-Zhoushan,China,29.8667,121.55,https://en.wikipedia.org/wiki/Port_of_Ningbo-Zhoushan,http://3.bp.blogspot.com/-k5YwFtnIOcs/VIF-qdifGsI/AAAAAAAACOA/AYVWpik3clk/s1600/6%2BNingbo-Zhoushan.jpg,"The Port of Ningbo-Zhoushan is a Chinese port that is the busiest in the world in terms of cargo tonnage, it handled 888.96 million tons of cargo in 2015. The port is at the crossroads of the north-south inland and coastal shipping route, including canals to the important inland waterway to interior China, the Yangtze River, to the north.",19450,17351,16670,14686,13144,10502,11226,9349,7068,5208
Busan,South Korea,35.1039,129.0789,https://en.wikipedia.org/wiki/Port_of_Busan,https://upload.wikimedia.org/wikipedia/commons/b/bd/Busan-port-from-Busan-tower-2.jpg,"The Port of Busan is the largest port in South Korea, located in the city of Busan, South Korea.",18423,17690,17046,16185,14157,11954,13425,13270,12039,11843
Qingdao,China,36.0833,120.317,https://en.wikipedia.org/wiki/Qingdao_Port,https://upload.wikimedia.org/wikipedia/commons/9/9d/Qingdao_port.jpg,"The Port of Qingdao is a seaport on the Yellow Sea in the vicinity of Qingdao, Shandong Province, People's Republic of China. It is one of the ten busiest ports in the world (7th in 2010 considering total cargo volume according to the Institute of Shipping Economics & Logistics).",16624,15520,14503,13020,12012,10260,10320,9462,7702,6307
Guangzhou,China,23.0939,113.4378,https://en.wikipedia.org/wiki/Port_of_Guangzhou,http://sowoll.com/images/GUANGZHOU%20PORT.jpg,"The Port of Guangzhou is the main seaport of Guangzhou city, Guangdong province, China. The port is operated by Guangzhou Port Group Co. Ltd which is a state owned company. It is currently the largest comprehensive port in South China. Its international maritime trade reaches over 300 ports in more than 80 countries and districts worldwide.",16160,15309,14744,14400,12550,11190,11001,9200,6600,4685
Jebel Ali,United Arab Emirates,25.0113,55.0612,https://en.wikipedia.org/wiki/Port_of_Jebel_Ali,https://upload.wikimedia.org/wikipedia/commons/f/fb/Jebel_Ali_Port_2_Imresolt.jpg,"Jebel Ali is a deep port located in Jebel Ali, Dubai, United Arab Emirates. Jebel Ali is the world's ninth busiest port and the largest man-made harbor and the biggest and by far the busiest port in the Middle-East. Port Jebel Ali was constructed in the late 1970s to supplement the facilities at Port Rashid.",14750,13641,13270,13000,11600,11124,11827,10653,8923,7619
Tianjin,China,38.9758,117.7875,https://en.wikipedia.org/wiki/Port_of_Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/HaiheFirstBendAfternoon.jpg/440px-HaiheFirstBendAfternoon.jpg,"The Port of Tianjin is on the western shore of the Bohai Bay, centered on the estuary of the Haihe River, 170 km southeast of Beijing and 60 km east of Tianjin city. It is the largest man-made port in mainland China and one of the largest in the world. It covers 121 square kilometers of land surface, with over 31.9 km of quay shoreline and 151 production berths at the end of 2010. The port trades with more than 600 ports in 180 countries and territories around the world.",14050,13010,12300,11500,10080,8700,8500,7103,5950,4801
Rotterdam,Netherlands,51.952549,4.046374,https://en.wikipedia.org/wiki/Port_of_Rotterdam,https://www.portofrotterdam.com/sites/default/files/styles/por_is_content_image/public/Total-Rotterdam-Erasmus-Port-Authority-Pleasure-boating.jpg?itok=mSy3R_qx,"The Port of Rotterdam is the largest port in Europe, located in the city of Rotterdam, Netherlands. From 1962 until 2004 it was the world's busiest port, now overtaken first by Singapore and then Shanghai. In 2012 Rotterdam was the world's sixth-largest port in terms of annual cargo tonnage. Covering 105 square kilometres (41 sq mi), the port of Rotterdam now stretches over a distance of 40 kilometres (25 mi).",12453,11621,11866,11877,11146,9743,10784,10791,9655,9287
Port Klang,Malaysia,2.9333,101.2975,https://en.wikipedia.org/wiki/Port_Klang,https://upload.wikimedia.org/wikipedia/commons/8/81/Northport_Malaysia_Wharve.JPG,"Port Klang is a town and the main gateway by sea into Malaysia. Known during colonial times as Port Swettenham but renamed Port Klang in July 1972, it is the largest port in the country. It is located about 6 kilometres (3.7 mi) southwest of the town of Klang, and 38 kilometres (24 mi) southwest of Kuala Lumpur.",10736,10350,10000,9604,8870,7309,7970,7120,6326,5544
Kaohsiung,Taiwan,22.6133,120.2792,https://en.wikipedia.org/wiki/Port_of_Kaohsiung,https://upload.wikimedia.org/wikipedia/commons/8/8d/Shipping-container_Kaohsiung_Harbour.jpg,"The Port of Kaohsiung is the largest harbor in Taiwan, handling approximately 10 million twenty-foot equivalent units worth of cargo in 2007. The port is located in southern Taiwan, adjacent to Kaohsiung City. It is operated by Taiwan International Ports Corporation, the Taiwan's only state-owned harbor management company.",10593,9938,9781,9636,8872,8581,9677,10257,9775,9471
Dalian,China,38.9166,121.6833,https://en.wikipedia.org/wiki/Port_of_Dalian,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Dalian_Shipbuilding_Industry_Company.jpg/1280px-Dalian_Shipbuilding_Industry_Company.jpg,"The Port of Dalian founded in 1899 lies at the southern tip of Liaodong Peninsula in Liaoning province and is the most northern ice-free port in China. It is also the largest multi-purpose port in Northeast China serving the seaports North Asia, East Asia and the Pacific Rim. It is the trade gateway to the Pacific. It is the second largest container transshipment hub in mainland China.",10128,10860,8060,6400,5242,4552,4503,4574,3212,2665
Hamburg,Germany,53.5461,9.9661,https://en.wikipedia.org/wiki/Port_of_Hamburg,https://upload.wikimedia.org/wikipedia/commons/9/93/Landungsbr%C3%BCcken%2C_Hamburg.JPG,"The Port of Hamburg is a German sea port, located on the river Elbe in Hamburg, some 110 kilometres from the mouth of the Elbe into the North Sea. It is Germany's largest port and is named the country's ""Gateway to the World"". In terms of TEU throughput, Port of Hamburg is the second-busiest port in Europe (after the port of Rotterdam) and 15th-largest worldwide.",9729,9302,8864,9022,7900,7007,9737,9890,8862,8088
Antwerp,Belgium,51.27,4.3366,https://en.wikipedia.org/wiki/Port_of_Antwerp,https://upload.wikimedia.org/wikipedia/commons/b/be/Zicht_op_het_Delwaidedok.jpg,"The Port of Antwerp in Belgium, is a port in the heart of Europe accessible to capesize ships. Antwerp stands at the upper end of the tidal estuary of the Scheldt. The estuary is navigable by ships of more than 100,000 Gross Tons as far as 80 km inland. Like Hamburg, the Port of Antwerp's inland location provides a more central location in Europe than the majority of North Sea ports. Antwerp's docks are connected to the hinterland by rail, road, and river and canal waterways.",9136,8578,8635,8664,8468,7309,8663,8176,7019,6482
Xiamen,China,24.5022,118.0845,https://en.wikipedia.org/wiki/Port_of_Xiamen,https://upload.wikimedia.org/wikipedia/commons/f/f8/Haicang_Bridge_-_seen_from_south_-_DSCF9318.JPG,"The Port of Xiamen is an important deep water port located on Xiamen Island, the adjacent mainland coast, and along the estuary of the Jiulongjiang River in southern Fujian, China. It is one of the trunk line ports in the Asia-Pacific region. On 31 August 2010, Xiamen Port incorporated the neighboring port of Zhangzhou to form the largest port of China's Southeast. This was a relatively uncommon case of ports merging across jurisdictions.",8572,8010,7202,6461,5820,4680,5035,4627,4019,3342
Los Angeles,United States,33.7291,-118.262,https://en.wikipedia.org/wiki/Port_of_Los_Angeles,https://upload.wikimedia.org/wikipedia/commons/f/f4/LA-port%2BLong-Beach1.jpg,"The Port of Los Angeles, also called America's Port, is a port complex that occupies 7,500 acres (3,000 ha) of land and water along 43 miles (69 km) of waterfront and adjoins the separate Port of Long Beach. The port is located in San Pedro Bay in the San Pedro and Wilmington neighborhoods of Los Angeles, approximately 20 miles (32 km) south of downtown. A department of the City of Los Angeles, the Port of Los Angeles employs nearly 896,000 people throughout the LA County Region and 3.6 million worldwide.",8340,7869,8078,7941,7832,6748,7850,8355,8470,7485
Tanjung Pelepas,Malaysia,1.3663,103.5483,https://en.wikipedia.org/wiki/Port_of_Tanjung_Pelepas,https://upload.wikimedia.org/wikipedia/commons/c/c2/Tanjungpelepas.jpg,"The Port of Tanjung Pelepas is a container port located in Johor Bahru District, Johor, Malaysia, and is part of the APM Terminals Global Terminal Network, which holds a minority share in the joint venture. Receiving its maiden vessel on 10 October 1999 on a three-month trial operation, it set a world record as the fastest growing port with 1 million twenty-foot equivalent units (TEU) of containers handled after 571 days of operations.",7897,7628,7700,7500,6530,6000,5600,5500,4770,4177
Long Beach,United States,33.7541,-118.2164,https://en.wikipedia.org/wiki/Port_of_Long_Beach,https://upload.wikimedia.org/wikipedia/commons/a/aa/Crane_BridgeShip.jpg,"The Port of Long Beach, also known as the Harbor Department of the City of Long Beach, is the second-busiest container port in the United States, after the Port of Los Angeles, which it adjoins. Acting as a major gateway for US–Asian trade, the port occupies 3,200 acres (13 km2) of land with 25 miles (40 km) of waterfront in the city of Long Beach, California. The seaport generates approximately US$100 billion in trade and employs more than 316,000 people in Southern California.",6821,6731,6046,6061,6263,5067,6350,7316,7289,6710
Laem Chabang,Thailand,13.0617,100.895,https://en.wikipedia.org/wiki/Laem_Chabang,https://upload.wikimedia.org/wikipedia/commons/1/12/Laem_Chabang.jpg,"Laem Chabang is home to Thailand's largest port, about 25 kilometres north of Pattaya, and south of the city of Chonburi. The port occupies 2,572 acres (1,041 ha) and is capable of handling the largest (Post-Panamax) vessels. Development of the port complex started in 1988 to encourage development outside Bangkok and take advantage of proximity to the Gulf of Thailand. The container port was completed in 1991.",6518,6032,5830,5731,5068,4538,5134,4642,4123,3834
Ho Chi Minh City,Vietnam,10.8225,106.754,https://en.wikipedia.org/wiki/Saigon_Port,https://upload.wikimedia.org/wikipedia/commons/f/fe/SaigonPort1.JPG,"Saigon Port is a network of ports in Ho Chi Minh City. The port name is derived from the former name of the city. Today, this port network is the hub for export-import of goods in south Vietnam - the economic hub of the nation, which accounts for more than two-thirds of Vietnam's economy.",6334,5542,5060,4674,4100,3563,3100,2532,2532,2122
Bremerhaven,Germany,53.5671,8.5592,https://en.wikipedia.org/wiki/Bremerhaven#Trade,https://upload.wikimedia.org/wikipedia/commons/8/82/MSC_Venezuela.jpg,"The port of Bremerhaven is the sixteenth-largest container port in the world and the fourth-largest in Europe with 4.9 million twenty-foot equivalent units (TEU) of cargo handled in 2007[5] and 5.5 million in 2015. The container terminal is situated on the bank of the river Weser opening to the north-sea. In the wet dock parts, accessible by two large locks, more than 2 million cars are imported or exported every year with 2,3 million in 2014. Bremerhaven imports and exports more cars than any other city in Europe.",5796,5831,6115,5915,4871,4578,5529,4912,4450,3736
New York and New Jersey,United States,40.6683,-74.0456,https://en.wikipedia.org/wiki/Port_of_New_York_and_New_Jersey,https://upload.wikimedia.org/wikipedia/commons/a/af/Manhattan.jpg,"The Port of New York and New Jersey is the port district of the New York-Newark metropolitan area, encompassing the region within approximately a 25-mile (40 km) radius of the Statue of Liberty National Monument. It includes the system of navigable waterways in the estuary along 650 miles (1,050 km) of shoreline in the vicinity of New York City and northeastern New Jersey, as well as the region's airports and supporting rail and roadway distribution networks.",5772,5467,5530,5503,5292,4561,5265,5299,5093,4785
Yingkou,China,40.2818,122.1239,https://en.wikipedia.org/wiki/Port_of_Yingkou,http://www.bizbilla.com/seaports-harbours/port-images/port-of-yingkou-763-1.jpg,"The Port of Yingkou is an international seaport in Yingkou, Liaoning, People's Republic of China. It is the second-largest port in northeast China and the tenth-largest nationwide. The port is a major import facility for northeastern China and parts of Mongolia with an annual trade volume of more than 21 million metric tons through 27 shipping berths. Principal port activities include grain, coal, steel and minerals, and vehicle imports.",5768,5301,4851,4033,3338,2537,2030,1371,838,634
Tanjung Priok,Indonesia,-6.104,106.8865,https://en.wikipedia.org/wiki/Port_of_Tanjung_Priok,https://upload.wikimedia.org/wikipedia/commons/6/62/Tanjung_priok2.jpg,"The Port of Tanjung Priok is the busiest and most advanced Indonesian seaport, handling more than 50% of Indonesia's trans-shipment cargo traffic. The port is among the least efficient in all Southeast Asia, with turn-around times 6 times that of Singapore, and severely congested due to slow customs handling, as well as limited port capacity. In regard to the port capacity, two-phase ""New Priok"" extension project is currently ongoing; when fully operational in 2023, it will triple existing annual capacity.",5034,6590,6200,5618,4715,3800,3984,3900,3280,3282
Lianyungang,China,34.7382,119.4427,https://en.wikipedia.org/wiki/Lianyungang#Port,http://www.seanews.com.tr/images/haberler/2014_06/129365/lianyungang-port.jpg,Lianyungang port is among the 10 largest ports in China and the 30 largest port in the world. The cargo throughput of Lianyungang port is 210 million ton/year(2015).,5005,5490,5020,4850,3870,3021,3001,2001,1302,1005
Tokyo,Japan,35.6169,139.7956,https://en.wikipedia.org/wiki/Port_of_Tokyo,http://www.penta-ocean.co.jp/english/project/facility/harbor/images/020_ph001.jpg,"The Port of Tokyo is one of the largest Japanese seaports and one of the largest seaports in the Pacific Ocean basin having an annual traffic capacity of around 100 million tons of cargo and 4,500,000 TEU's. The port is also an important employer in the area having more than 30,000 employees that provide services to more than 32,000 ships every year.",4917,4861,4752,4640,4286,3810,4271,3818,3969,3593
Mumbai,India,18.95,72.95,https://en.wikipedia.org/wiki/Jawaharlal_Nehru_Port,https://upload.wikimedia.org/wikipedia/commons/d/d8/Thane_Creek_and_Elephanta_Island_03-2016_-_img27_view_from_Cannon_Hill.jpg,"Jawaharlal Nehru Port, also known as Nhava Sheva, is the largest container port in India. Located east of Mumbai in Maharashtra, the port on the Arabian Sea is accessed via Thane Creek. Its common name derives from the names of Nhava and Sheva villages that were situated here. This port is also the terminal of Western Dedicated Freight Corridor proposed by Indian Railways.",4496,4162,4260,4217,3857,4061,3953,4060,3298,2667
Algeciras,Spain,36.136,-5.435,https://en.wikipedia.org/wiki/Port_of_Algeciras,https://upload.wikimedia.org/wikipedia/commons/4/40/Big_freighters_in_the_port_of_Algeciras.jpg,"The Port of Algeciras is the port and harbor of Algeciras, a city located in the province of Cádiz in the autonomous community of Andalusia, Spain. It is a commercial, fishing and passenger port. It consists of numerous maritime infrastructures scattered throughout the Bay of Gibraltar. It is the first port of Spain with almost 100 million tons in 2015 and second in the Mediterranean Sea. The port totals over 10 km of quays in different basins, which manage all types of passenger and freight traffic.",4457,4501,4114,3603,2810,3042,3324,3152,3257,3180
Valencia,Spain,39.4457,-0.3199,https://en.wikipedia.org/wiki/Port_of_Valencia,https://upload.wikimedia.org/wikipedia/commons/e/ed/Port_de_Val%C3%A8ncia%2C_eixida.JPG,"The Port of Valencia, seaport located in Valencia, Spain. It is the fifth busiest seaport in Europe, being also the largest in Spain and in the Mediterranean Sea basin, with an annual traffic capacity of around 57 million tons of cargo (2009) and 4,210,000 TEU (2010). The port is also an important employer in the area, with more than 15,000 employees who provide services to more than 7,500 ships every year.",4442,4328,4470,4327,4207,3653,3593,3043,2612,2410
Khor Fakkan,United Arab Emirates,25.3391,56.3561,https://en.wikipedia.org/wiki/Khor_Fakkan,https://upload.wikimedia.org/wikipedia/commons/3/38/Khor_Fakkan_02.jpg,"The modern Khorfakkan Container Terminal was inaugurated in 1979, and is the only natural deep-sea port in the region, and one of the top ports in the Emirates for containers. The 81.75 million dollar project involved reclaiming some 150,000 square metres (1,600,000 sq ft) to increase the storage capacity and to facilitate large cranes, and 16 metres (52 ft) deep quays to accommodate for major vessels over 400 metres (1,300 ft) in length.",4256,3800,3996,3230,3023,2750,2112,1850,1730,1929
Jeddah,Saudi Arabia,21.4723,39.1654,https://en.wikipedia.org/wiki/Jeddah_Seaport,https://upload.wikimedia.org/wikipedia/commons/c/ce/Jeddah-seaport-saudiarabia.PNG,Jeddah Islamic Port occupies an area of 10.5 square kilometers and its deep water quays provide an overall berthing length of 11.2 kilometers with a maximum draft of 16 meters.,4200,4561,4738,4010,3830,3091,3326,3068,2964,2836
Colombo,Sri Lanka,6.9528,79.8447,https://en.wikipedia.org/wiki/Colombo_Harbour,https://upload.wikimedia.org/wikipedia/commons/9/98/LogosHope-ColomboHarbour-November2015-01.JPG,"The Port of Colombo is the largest and busiest port in Sri Lanka as well as in South Asia. Located in Colombo, on the southwestern shores on the Kelani River, it serves as an important terminal in Asia due to its strategic location in the Indian Ocean. During the 1980s, the port underwent rapid modernization with the installation of Cranes, Gantries and other modern-day terminal requirements.",4097,4306,4180,4263,4137,3464,3687,3380,3079,2455
Santos,Brazil,-23.9641,-46.2971,https://en.wikipedia.org/wiki/Port_of_Santos,https://upload.wikimedia.org/wikipedia/commons/3/3b/Santos_A%C3%A9rea_%28cropped%29.jpg,"The Port of Santos is located in the city of Santos, state of Sao Paulo, Brazil. As of 2006, it is the busiest container port in Latin America. It possesses a wide variety of cargo handling terminals solid and liquid bulk, containers, and general loads. It is Brazil's leading port in container traffic. The terrestrial access system to the port is made up by the Anchieta and Imigrantes highways and by the railroads operated by Ferroban and MRS.",3685,3446,3172,2985,2716,2252,2675,2533,2208,2240
Felixstowe,United Kingdom,51.9529,1.3095,https://en.wikipedia.org/wiki/Port_of_Felixstowe,https://upload.wikimedia.org/wikipedia/commons/6/6c/Aerial_view_of_the_Port_of_Felixstowe.jpg,"The Port of Felixstowe, in Felixstowe, Suffolk is the United Kingdom's busiest container port, dealing with 42% of Britain's containerised trade. The port is operated by the Felixstowe Dock and Railway Company which was set up under an Act of Parliament, the Felixstowe Railway and Pier Act 1875.",3680,3740,3700,3519,3400,3100,3200,3300,3000,2700
Manila,Philippines,14.5967,120.9544,https://en.wikipedia.org/wiki/Port_of_Manila,https://upload.wikimedia.org/wikipedia/en/5/56/Pic_geo_photos_-_ph%3Dmm%3Dmanila%3Dtondo%3Dnorth_harbor%3Dinternational_container_terminal_-_view_from_world_trade_exchange_tower_binondo_-philippines--2015-0615--ls-.JPG,"The Port of Manila refers to the collective facilities and terminals that processes maritime trade function in harbors that serves the Metro Manila Area. It is the largest and the premier international shipping gateway to the country. The Philippine Ports Authority, a government-owned corporation, manages the Port of Manila and most of the public ports in the country. It is composed of 3 major facilities namely Manila North Harbor, Manila South Harbor and the Manila International Container Terminal.",3673,3770,3705,3250,3257,2815,2977,2800,2638,2625
Savannah,United States,32.1287,-81.1519,https://en.wikipedia.org/wiki/Port_of_Savannah,https://upload.wikimedia.org/wikipedia/commons/9/97/Savannah_harbor.jpeg,"The Port of Savannah is a major U. S. seaport located at Savannah, Georgia. Its facilities for oceangoing vessels line both sides of the Savannah River approximately 18 miles (29 km) from the Atlantic Ocean. Operated by the Georgia Ports Authority (GPA). Between 2000 and 2005 alone, the Port of Savannah was the fastest-growing seaport in the United States, with a compounded annual growth rate of 16.5 percent (the national average is 9.7 percent).",3346,3034,2966,2945,2825,2356,2616,2604,2160,1902
Balboa,Panama,8.95,-79.5667,"https://en.wikipedia.org/wiki/Balboa,_Panama#Port_of_Balboa",https://upload.wikimedia.org/wikipedia/commons/f/fb/Balboa_Panama_Port.jpg,"Balboa is the Pacific-side port of the Panama Canal. The port has a dry dock in Panamax size (even the gates have a construction similar to that of the locks of the Panama canal). In 2012, Balboa was ranked the busiest container port in Latin America. Balboa has a multimodal (ship-to-train) terminal, called the Pacific Terminal, connected to Colón by the Panama Canal Railway. This allows transportation of containers by train across the isthmus.",3236,3064,3251,3232,2759,2012,2011,2167,988,663
Gioia Tauro,Italy,38.4333,15.9,https://en.wikipedia.org/wiki/Port_of_Gioia_Tauro,http://www.portstrategy.com/__data/assets/image/0022/194431/MCT-Gioia-Tauro-quay.jpg,"The Port of Gioia Tauro is the largest port in Italy for container throughput and serves mainly as a transhipment hub, connecting the global and regional networks that cross the Mediterranean. The port benefits from the natural depth of its water (up to 18 meters) and offers one of the longest linear quays available in the Mediterranean (3.4 kilometers).",3062,3087,2721,2305,2851,2857,3468,3445,2900,3161
Port Said,Egypt,31.2534,32.3121,https://en.wikipedia.org/wiki/Port_Said#Port,http://www.dutchwatersector.com/uploads/2013/08/dws-rhdhv-container-terminal-port-said-2.jpg,"The Port of Port Said is the second-busiest seaport for container transport in the Arab world (narrowly behind the port of Salalah in Oman), and the busiest container seaport in Egypt.",3036,4100,3631,4272,3646,3300,3202,2127,2127,1522
Salalah,Oman,16.9444,54.0075,https://en.wikipedia.org/wiki/Port_of_Salalah,http://www.salalahport.com/images/press/salalah_barbera.jpg,"The Port of Salalah is the largest port in Oman. Situated in the Dhofar Governorate, on the Arabian Sea which is on the northern part of the Indian Ocean. it is centrally located at the crossroads of trade between Asia and Europe. With over 2.5 billion consumers, it serves the markets of East Africa, the Red Sea, the Indian Subcontinent and the Arabian/Persian Gulf on its doorstep.",3030,3340,3620,3201,3482,3490,3068,2600,2390,2492
Vancouver,Canada,49.2978,-123.0888,https://en.wikipedia.org/wiki/Vancouver_Fraser_Port_Authority,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/PortOVan.jpg/250px-PortOVan.jpg,"The Port of Vancouver, is a non-shareholder, financially self-sufficient Crown corporation established by the Government of Canada in January 2008, pursuant to the Canada Marine Act, and accountable to the federal Minister of Transport. It is the principal authority for shipping and port-related land and sea use in the Metro Vancouver region. In 2014, it was the third largest port by tonnage in the Americas.",2913,2825,2713,2551,2514,2492,2307,2208,1767,1665
Yokohama,Japan,35.4492,139.6779,https://en.wikipedia.org/wiki/Port_of_Yokohama,http://www.city.yokohama.lg.jp/kowan/guide/shimaiko/img/hamburg.jpg,"The Port of Yokohama is operated by the Port and Harbor Bureau of the City of Yokohama in Japan. APM Terminals Yokohama facility at Minami Honmoku was recognised in 2013 as the most productive container terminal in the world averaging 163 crane moves per hour, per ship between the vessel's arrival and departure at the berth.",2775,2888,3053,3083,3280,2555,3490,3400,3200,2873
Nagoya,Japan,35.08,136.88,https://en.wikipedia.org/wiki/Port_of_Nagoya,https://upload.wikimedia.org/wikipedia/commons/8/8c/Nagoya_Port_02.jpg,"The Port of Nagoya, located in Ise Bay, is the largest and busiest trading port in Japan, accounting for about 10% of the total trade value of Japan. Notably, this port is the largest exporter of cars in Japan and where the Toyota Motor Corporation exports most of its cars.",2740,2709,2655,2623,2549,2113,2817,2890,2740,2470
